"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","","","","2020-11-30","","16120.3896484375","","","","","1.45052194595337","3.08699989318848","","80","","141","158","","","0.822064132325573","109.63","52","35","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-12-02","","7439.64013671875","","","","","0.658954739570618","3.13599991798401","","81","","136","148","","","0.840057458488197","50.97","37","2","0","0","0","","","","","","","","","","","","","","","","",""
"Zwift - Rob Mayes's Meetup - Ven-Top","Bike","","","","2020-12-03","","42495.19140625","215","287","1609.171","","2.06944441795349","5.7039999961853","","76","","127","140","","","0.680520657892628","95.37","124","0","0","0","0","","","","","","34","90","0","0","0","0","","","","","",""
"Running","Run","","","","2020-12-04","","5016.41015625","","","","","0.331941395998001","4.19799995422363","","83","","170","179","","","1.11485284616148","44.46","0","0","5","14","0","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-12-05","","25441.029296875","","","","","6.98930883407593","1.0110000371933","","32","","","","","","0.380311079939271","117.57","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-12-08","","3157.30004882813","","","","","0.219709441065788","3.99200010299683","","81","","166","173","","","1.05973329221397","26.32","0","0","8","5","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-12-09","","14150.009765625","","","","","1.25432193279266","3.1340000629425","","80","","144","159","","","0.840350093480904","98.72","28","46","2","0","0","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-12-12","","24005.669921875","","","","","6.7516016960144","0.987999975681305","","33","","","","","","0.389912980938961","119.28","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-12-14","","6624.2998046875","","","","","0.569236934185028","3.23300004005432","","78","","147","157","","","0.847291038083303","44.65","4","30","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-12-15","","6975.18017578125","","","","","0.629036903381348","3.07999992370605","","81","","142","162","","","0.81806684766434","46.13","20","18","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-12-16","","6768.27001953125","","","","","0.601866126060486","3.12400007247925","","80","","143","160","","","0.823192137505109","44.6","16","18","2","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-12-18","","13688.080078125","","","","","1.19862914085388","3.17199993133545","","78","","147","165","","","0.852067441830939","96.84","12","58","3","0","0","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-12-19","","27130.05078125","","","","","5.91948366165161","1.27300000190735","","44","","","","","","0.387382026300466","102.89","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-12-20","","8398.4697265625","","","","","0.750059485435486","3.10999989509583","","79","","140","152","","","0.845349526772228","58.95","27","18","0","0","0","","","","","","","","","","","","","","","","",""
